"   ","SOLVEID","TRANSACTIONID","CLOSEID"
"727","10000003","EN20130105005","100003"
"728","10000002","EN20130105006","100001"
"729","10000003","EN20130105007","100003"
"730","10000002","EN20130105008","100001"
"731","10000002","EN20130105009","100003"
"732","10000003","EN20130105010","100003"
"733","10000002","EN20130105011","100001"
"734","10000002","EN20130105012","100003"
"735","10000002","EN20130105013","100001"
"736","10000002","EN20130105014","100001"
"737","10000002","EN20130105015","100001"
"738","10000002","EN20130105016","100001"
"739","10000002","EN20130105017","100001"
"740","10000002","EN20130105018","100001"
"741","10000003","EN20130105019","100003"
"742","10000002","EN20130105020","100001"
"743","10000003","EN20130105021","100001"
"744","10000002","EN20130105022","100001"
"745","10000002","EN20130105023","100001"
"746","10000002","EN20130105024","100001"
"747","10000002","EN20130105025","100001"
"748","10000003","EN20130105026","100003"
"749","10000002","EN20130105027","100001"
"750","10000002","EN20130105028","100003"
"751","10000002","EN20130105029","100001"
"752","10000002","EN20130105030","100001"
"753","10000002","EN20130105031","100001"
"754","10000002","EN20130105032","100003"
"755","10000003","EN20130105033","100003"
"756","10000002","EN20130105034","100001"
"757","10000002","EN20130105035","100001"
"758","10000002","EN20130105036","100001"
"759","10000002","EN20130105037","100001"
"760","10000002","EN20130105038","100001"
"761","10000003","EN20130105039","100003"
"762","10000003","EN20130105040","100003"
"763","10000002","EN20130105041","100001"
"764","10000002","EN20130105042","100001"
"765","10000002","EN20130105043","100001"
"766","10000003","EN20130105044","100003"
"767","10000002","EN20130105045","100001"
"768","10000002","EN20130105046","100001"
"769","10000002","EN20130105047","100001"
