"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000003","EN20121106354","100003","12","云电同方"
"10000002","EN20121106355","100001","203","远信科技"
"10000003","EN20121106356","100001","202","昆明能讯"
"10000002","EN20121106357","100001","203","远信科技"
"10000002","EN20121106358","100001","12","云电同方"
"10000002","EN20121106359","100001","203","远信科技"
"10000002","EN20121106360","100001","12","云电同方"
"10000002","EN20121106361","100001","203","远信科技"
"10000002","EN20121106362","100001","12","云电同方"
"10000002","EN20121106363","100001","203","远信科技"
"10000003","EN20121106364","100003","12","云电同方"
"10000002","EN20121106365","100001","203","远信科技"
"10000002","EN20121106366","100001","203","远信科技"
"10000002","EN20121106367","100001","203","远信科技"
"10000002","EN20121106368","100001","12","云电同方"
"10000002","EN20121106369","100001","12","云电同方"
"10000002","EN20121106370","100001","203","远信科技"
"10000002","EN20121106371","100001","12","云电同方"
"10000002","EN20121106372","100001","12","云电同方"
"10000002","EN20121106373","100001","12","云电同方"
"10000002","EN20121106374","100001","203","远信科技"
"10000002","EN20121106375","100001","203","远信科技"
"10000002","EN20121106376","100001","203","远信科技"
"10000002","EN20121106377","100001","12","云电同方"
"10000002","EN20121106378","100003","203","远信科技"
"10000002","EN20121106379","100001","203","远信科技"
"10000002","EN20121106380","100003","25","临沧供电局"
"10000002","EN20121106381","100001","203","远信科技"
"10000002","EN20121106382","100001","203","远信科技"
"10000003","EN20121106383","100001","203","远信科技"
"10000002","EN20121106384","100001","12","云电同方"
"10000002","EN20121106385","100001","12","云电同方"
"10000002","EN20121106386","100001","203","远信科技"
"10000002","EN20121106387","100001","203","远信科技"
"10000002","EN20121106388","100001","202","昆明能讯"
"10000002","EN20121106389","100001","202","昆明能讯"
"10000002","EN20121106390","100001","203","远信科技"
"10000002","EN20121106391","100001","12","云电同方"
"10000002","EN20121106392","100001","203","远信科技"
"10000002","EN20121106393","100001","203","远信科技"
"10000002","EN20121106394","100001","203","远信科技"
"10000002","EN20121106395","100001","203","远信科技"
"10000002","EN20121106396","100001","12","云电同方"
"10000002","EN20121106397","100001","202","昆明能讯"
"10000002","EN20121106398","100001","203","远信科技"
"10000002","EN20121106399","100001","203","远信科技"
"10000003","EN20121106400","100001","12","云电同方"
"10000002","EN20121106401","100001","12","云电同方"
"10000002","EN20121106402","100001","202","昆明能讯"
"10000002","EN20121106403","100001","202","昆明能讯"
"10000003","EN20121106404","100003","12","云电同方"
"10000002","EN20121106405","100001","12","云电同方"
"10000002","EN20121106406","100001","202","昆明能讯"
"10000002","EN20121106407","100001","12","云电同方"
"10000002","EN20121106408","100001","202","昆明能讯"
"10000002","EN20121106409","100001","203","远信科技"
"10000002","EN20121106410","100001","203","远信科技"
"10000002","EN20121106411","100001","202","昆明能讯"
"10000002","EN20121106412","100001","203","远信科技"
"10000003","EN20121106413","100003","12","云电同方"
"10000002","EN20121106414","100001","12","云电同方"
"10000003","EN20121106415","100003","12","云电同方"
"10000003","EN20121106416","100003","12","云电同方"
"10000002","EN20121106417","100001","203","远信科技"
"10000002","EN20121106418","100001","12","云电同方"
"10000002","EN20121106419","100001","203","远信科技"
"10000002","EN20121106420","100001","202","昆明能讯"
"10000002","EN20121106421","100001","202","昆明能讯"
"10000002","EN20121106422","100001","203","远信科技"
"10000003","EN20121106423","100001","203","远信科技"
"10000003","EN20121106424","100003","12","云电同方"
"10000002","EN20121106425","100001","203","远信科技"
"10000002","EN20121106426","100001","12","云电同方"
"10000002","EN20121106427","100001","203","远信科技"
"10000002","EN20121106428","100001","202","昆明能讯"
