"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120703128","100001","202","昆明能讯"
"10000002","EN20120703129","100001","202","昆明能讯"
"10000002","EN20120703130","100001","202","昆明能讯"
"10000002","EN20120703131","100001","202","昆明能讯"
"10000002","EN20120703132","100001","12","云电同方"
"10000002","EN20120703133","100001","203","远信科技"
"10000002","EN20120703134","100001","12","云电同方"
"10000002","EN20120703135","100001","203","远信科技"
"10000002","EN20120703136","100001","203","远信科技"
"10000002","EN20120703137","100001","203","远信科技"
"10000003","EN20120703138","100003","202","昆明能讯"
"10000002","EN20120703139","100001","203","远信科技"
"10000003","EN20120703140","100001","203","远信科技"
"10000002","EN20120703141","100001","12","云电同方"
"10000002","EN20120703142","100001","202","昆明能讯"
"10000002","EN20120703143","100001","12","云电同方"
"10000002","EN20120703144","100001","12","云电同方"
"10000002","EN20120703145","100001","12","云电同方"
"10000002","EN20120703146","100001","12","云电同方"
"10000002","EN20120703147","100001","12","云电同方"
"10000002","EN20120703148","100001","203","远信科技"
"10000002","EN20120703149","100001","12","云电同方"
"10000003","EN20120703150","100003","12","云电同方"
"10000003","EN20120703151","100003","12","云电同方"
"10000002","EN20120703152","100001","203","远信科技"
"10000002","EN20120703153","100001","12","云电同方"
"10000002","EN20120703154","100001","203","远信科技"
"10000002","EN20120703155","100001","203","远信科技"
"10000002","EN20120703156","100001","203","远信科技"
"10000002","EN20120703157","100001","203","远信科技"
"10000002","EN20120703158","100001","203","远信科技"
"10000003","EN20120703159","100001","203","远信科技"
"10000002","EN20120703160","100001","203","远信科技"
"10000002","EN20120703161","100001","202","昆明能讯"
"10000002","EN20120703162","100001","12","云电同方"
"10000002","EN20120703163","100001","203","远信科技"
"10000002","EN20120703164","100001","12","云电同方"
"10000002","EN20120703165","100001","203","远信科技"
"10000003","EN20120703166","100003","202","昆明能讯"
"10000002","EN20120703167","100001","203","远信科技"
"10000003","EN20120703168","100003","12","云电同方"
"10000002","EN20120703169","100001","12","云电同方"
"10000002","EN20120703170","100001","203","远信科技"
"10000002","EN20120703171","100001","12","云电同方"
"10000002","EN20120703172","100001","203","远信科技"
"10000002","EN20120703173","100001","203","远信科技"
"10000002","EN20120703174","100001","202","昆明能讯"
"10000002","EN20120703175","100001","203","远信科技"
"10000003","EN20120703176","100001","203","远信科技"
"10000002","EN20120703177","100001","12","云电同方"
"10000002","EN20120703178","100001","202","昆明能讯"
"10000002","EN20120703179","100001","202","昆明能讯"
"10000002","EN20120703180","100001","203","远信科技"
"10000002","EN20120703181","100001","12","云电同方"
"10000002","EN20120703182","100001","202","昆明能讯"
"10000002","EN20120703183","100001","12","云电同方"
"10000002","EN20120703184","100001","12","云电同方"
"10000002","EN20120703185","100001","203","远信科技"
"10000003","EN20120703186","100001","203","远信科技"
"10000002","EN20120703187","100001","203","远信科技"
"10000002","EN20120703188","100001","203","远信科技"
"10000002","EN20120703189","100001","202","昆明能讯"
"10000002","EN20120703190","100001","12","云电同方"
"10000002","EN20120703191","100001","203","远信科技"
"10000002","EN20120703192","100001","12","云电同方"
"10000002","EN20120703193","100001","12","云电同方"
"10000002","EN20120703194","100001","203","远信科技"
"10000002","EN20120703195","100001","203","远信科技"
"10000002","EN20120703196","100001","203","远信科技"
"10000003","EN20120703197","100003","12","云电同方"
"10000002","EN20120703198","100001","12","云电同方"
"10000002","EN20120703199","100001","12","云电同方"
"10000002","EN20120703200","100001","203","远信科技"
"10000002","EN20120703201","100001","12","云电同方"
"10000002","EN20120703202","100001","12","云电同方"
"10000002","EN20120703203","100001","12","云电同方"
"10000002","EN20120703204","100001","202","昆明能讯"
"10000002","EN20120703205","100001","12","云电同方"
"10000002","EN20120703206","100001","12","云电同方"
"10000002","EN20120703207","100001","12","云电同方"
